species_name,taxonomic_name,family,class,thermal_guild,range,frequency,abundance,max_length,trophic_level,trophic_group,trophic_group_2,water_column,diel_activity,habitat,min_depth,max_depth,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf,phylum,order,genus,species_epithet,phylogenetic_diversity_index,trophic_level_se,vulnerability,reproductive_mode,fertilization,spawning_frequency,batch_spawner,reproductive_guild,life_cycle,trophic_breadth,diet,diet_level,time,macrophyte,complexity
Abudefduf spp.,Abudefduf spp.,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,NA,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf troschelii,Abudefduf troschelii,Pomacentridae,Actinopterygii,tropical,1177,33,22,20,3,Planktivore,Planktivore,Demersal,Day,coral,1,12,26.099,25.586,30.399,3,23.0320383,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf troschelii,Abudefduf troschelii,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,troschelii,0.5,0.32,30,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf vaigiensis,Abudefduf vaigiensis,Pomacentridae,Actinopterygii,tropical,3014,12,23,20,2.6,Planktivore,Planktivore,Demersal,Day,coral,1,15,25.157,23.959625,31.30125,3,17.7387844,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf vaigiensis,Abudefduf vaigiensis,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.6,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,vaigiensis,0.5,0.4,16,dioecism,exterl,NA,NA,guarders,NA,4,Omnivore,4,Day,low,medium
Abudefduf whitleyi,Abudefduf whitleyi,Pomacentridae,Actinopterygii,tropical,584,12,17,14,2.6,Planktivore,Planktivore,Demersal,Day,coral,1,5,24.5775,24.4745,29.938,3,9.1352892,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf whitleyi,Abudefduf whitleyi,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.6,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,whitleyi,0.5,0.29,30,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Acalyptophis peronii,Acalyptophis peronii,Elapidae,Reptilia,tropical,156,27,1,100,NA,Higher carnivore,Higher carnivore,pelagic site attached,NA,sand,NA,NA,25.6053,25.64695,28.2221,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaluteres brownii,Acanthaluteres brownii,Monacanthidae,Actinopterygii,temperate,962,25,5,55,2.8,Omnivore,Herbivore,Demersal,Day,rock,2,25,18.866,17.9445,22.745,3,15.3555336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaluteres brownii,Acanthaluteres brownii,Monacanthidae,Actinopterygii,NA,NA,NA,NA,NA,2.8,herbivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tetraodontiformes,Acanthaluteres,brownii,0.625,0.4,56,NA,NA,NA,NA,NA,NA,3.933333333,Omnivore,4,Day,macroalgae,medium
Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Monacanthidae,Actinopterygii,temperate,404,10,7,14,2.9,Omnivore,Herbivore,Demersal,Day,sand,0,10,16.5555,16.4175,22.598,3,0.1803876,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Monacanthidae,Actinopterygii,NA,NA,NA,NA,NA,2.9,herbivore,NA,Demersal,NA,sand,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tetraodontiformes,Acanthaluteres,spilomelanurus,0.625,0.4,24,NA,NA,NA,NA,NA,NA,3.933333333,Omnivore,4,Day,seagrass,medium
Acanthaluteres vittiger,Acanthaluteres vittiger,Monacanthidae,Actinopterygii,temperate,831,28,7,35,2,Omnivore,Herbivore,Demersal,Day,rock,0,40,17.2935,16.799,23.239,3,5.4939288,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaluteres vittiger,Acanthaluteres vittiger,Monacanthidae,Actinopterygii,NA,NA,NA,NA,NA,2,herbivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tetraodontiformes,Acanthaluteres,vittiger,0.625,0,39,NA,NA,NA,NA,NA,NA,3.933333333,Omnivore,4,Day,macroalgae,medium
Acanthaster planci,Acanthaster planci,Acanthasteridae,Asteroidea,tropical,5864,6,1,80,NA,Benthic invertivore,Benthic invertivore,benthic,NA,coral,NA,NA,25.4995,25.088,31.121,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaster planci,Acanthaster planci,Acanthasteridae,Asteroidea,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinodermata,Spinulosida,Acanthaster,planci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria aspera,Acanthemblemaria aspera,Chaenopsidae,Actinopterygii,tropical,460,33,5,4,3.1,Benthic invertivore,Benthic invertivore,benthic,Day,coral,NA,NA,27.6764,27.323575,30.82895,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria aspera,Acanthemblemaria aspera,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.1,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,aspera,0.5,0.32,21,dioecism,exterl,NA,NA,nonguarders,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria atrata,Acanthemblemaria atrata,Chaenopsidae,Actinopterygii,tropical,126,74,90,5,3.3,Benthic invertivore,Benthic invertivore,benthic,Day,rock,NA,NA,27.9735,28.233,29.75,1,4.7281087,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria atrata,Acanthemblemaria atrata,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.3,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,atrata,0.5,0.4,10,dioecism,exterl,NA,NA,nonguarders,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria balanorum,Acanthemblemaria balanorum,Chaenopsidae,Actinopterygii,tropical,10,50,1,4.5,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,rock,1,5,29.16,29.1255,30.099,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria balanorum,Acanthemblemaria balanorum,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,balanorum,0.5,0.45,10,dioecism,exterl,NA,NA,nonguarders,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria castroi,Acanthemblemaria castroi,Chaenopsidae,Actinopterygii,tropical,10,50,1,6,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,rock,1,23,23.2397,23.54945,26.311,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria castroi,Acanthemblemaria castroi,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,castroi,0.5,0.5,10,dioecism,exterl,NA,NA,nonguarders,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria crockeri,Acanthemblemaria crockeri,Chaenopsidae,Actinopterygii,tropical,1792,5,2,6,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,coral,1,60,24.9802,22.65535,29.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria crockeri,Acanthemblemaria crockeri,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,crockeri,0.5,0.45,10,NA,NA,NA,NA,NA,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria exilispinus,Acanthemblemaria exilispinus,Chaenopsidae,Actinopterygii,tropical,295,29,3,5.5,3.4,Planktivore,Planktivore,benthic,Day,rock,1,5,28.568,27.908,30.354,3,6.5621357,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria exilispinus,Acanthemblemaria exilispinus,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,exilispinus,0.5,0.45,10,NA,NA,NA,NA,NA,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria hancocki,Acanthemblemaria hancocki,Chaenopsidae,Actinopterygii,tropical,468,49,9,4.5,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,rock,1,5,26.866,26.7425,30.292,3,14.2681198,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria hancocki,Acanthemblemaria hancocki,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,hancocki,0.5,0.45,10,NA,NA,NA,NA,NA,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria spinosa,Acanthemblemaria spinosa,Chaenopsidae,Actinopterygii,tropical,588,21,2,2.8,3.1,Benthic invertivore,Benthic invertivore,benthic,Day,coral,4,12,28.13555,28.39195,30.9887,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria spinosa,Acanthemblemaria spinosa,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.1,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,spinosa,0.5,0.4,21,NA,NA,NA,NA,NA,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria spp.,Acanthemblemaria spp.,Chaenopsidae,Actinopterygii,tropical,NA,NA,NA,NA,NA,Benthic invertivore,Benthic invertivore,benthic,Day,rock,NA,NA,27.730375,27.94225,29.6205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria spp.,Acanthemblemaria spp.,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthemblemaria stephensi,Acanthemblemaria stephensi,Chaenopsidae,Actinopterygii,tropical,10,27,9,5,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,rock,9,10,26.867,26.897,27.526,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria stephensi,Acanthemblemaria stephensi,Chaenopsidae,Actinopterygii,NA,NA,NA,NA,NA,3.4,benthic carnivore,NA,benthic,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthemblemaria,stephensi,0.5,0.45,10,NA,NA,NA,NA,NA,NA,NA,Benthic Mobile Inverts,5,Day,low,medium
Acanthina monodon,Acanthina monodon,Muricidae,Gastropoda,temperate,10,10,6,NA,NA,Benthic invertivore,Benthic invertivore,benthic,NA,rock,NA,NA,10.0034,10.27175,16.1745,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthina monodon,Acanthina monodon,Muricidae,Gastropoda,NA,NA,NA,NA,NA,NA,benthic carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Neogastropoda,Acanthina,monodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius cinctus,Acanthistius cinctus,Serranidae,Actinopterygii,temperate,959,11,1,50,4.1,Higher carnivore,Higher carnivore,Demersal,Day,rock,3,30,21.064,21.339,24.92,3,8.8409006,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius cinctus,Acanthistius cinctus,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,4.1,higher carnivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthistius,cinctus,0.5005,0.7,49,NA,NA,NA,NA,NA,NA,2,Carnivore,4,Day,low,medium
Acanthistius ocellatus,Acanthistius ocellatus,Serranidae,Actinopterygii,temperate,240,43,1,64,4.1,Higher carnivore,Higher carnivore,Demersal,Day,rock,4,100,19.71875,19.89925,24.56,3,6.5640986,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius ocellatus,Acanthistius ocellatus,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,4.1,higher carnivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthistius,ocellatus,0.5005,0.7,45,dioecism,exterl,NA,NA,NA,NA,2,Carnivore,4,Day,low,medium
Acanthistius pardalotus,Acanthistius pardalotus,Serranidae,Actinopterygii,temperate,220,5,2,65,4.1,Higher carnivore,Higher carnivore,Demersal,Day,rock,NA,NA,21.1835,20.747625,24.2173,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius pardalotus,Acanthistius pardalotus,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,4.1,higher carnivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthistius,pardalotus,0.5005,0.7,49,dioecism,exterl,NA,NA,NA,NA,2,Carnivore,4,Day,low,medium
Acanthistius patachonicus,Acanthistius patachonicus,Serranidae,Actinopterygii,temperate,50,92,55,65,4,Higher carnivore,Higher carnivore,Demersal,Day,rock,NA,NA,14.237,14.624,19.031,1,17.3946218,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius patachonicus,Acanthistius patachonicus,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,4,higher carnivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthistius,patachonicus,0.5005,0.7,41,dioecism,exterl,NA,NA,NA,NA,2,Carnivore,4,Day,low,medium
Acanthistius sebastoides,Acanthistius sebastoides,Serranidae,Actinopterygii,temperate,23,75,1,35,4,Higher carnivore,Higher carnivore,Demersal,Day,rock,1,20,19.212,19.94,24.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius sebastoides,Acanthistius sebastoides,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,4,higher carnivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthistius,sebastoides,0.5005,0.7,34,dioecism,exterl,NA,NA,NA,NA,2,Carnivore,4,Day,low,medium
Acanthistius serratus,Acanthistius serratus,Serranidae,Actinopterygii,temperate,124,19,1,50,4.1,Higher carnivore,Higher carnivore,Demersal,Day,rock,0,40,19.896375,19.776425,23.2785,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthistius serratus,Acanthistius serratus,Serranidae,Actinopterygii,NA,NA,NA,NA,NA,4.1,higher carnivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthistius,serratus,0.5005,0.7,49,dioecism,exterl,NA,NA,NA,NA,2,Carnivore,4,Day,low,medium
Acanthistius spp.,Acanthistius spp.,Serranidae,Actinopterygii,temperate,NA,NA,NA,NA,NA,Higher carnivore,Higher carnivore,benthic,Day,rock,NA,NA,20.414,20.604,22.745,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthochromis polyacanthus,Acanthochromis polyacanthus,Pomacentridae,Actinopterygii,tropical,1166,41,73,14,2.7,Planktivore,Planktivore,Demersal,Day,coral,1,65,27.213,25.819,31.344,3,25.3643157,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthochromis polyacanthus,Acanthochromis polyacanthus,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.7,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Acanthochromis,polyacanthus,1,0.3,25,dioecism,exterl,NA,NA,guarders,NA,4.055555556,plank. copepods,1,Day,low,medium
