wkt_geom,Latitude,Longitude,Name,Icon,IconColor,site_name,country,area,location,mpa,protection,programs,ATRC depth,ATRC years,RLS date-d,old_site_c,wave_expos,relief,slope,currents,realm,province,ecoregion,lat_zone,geom,temperature_mean_2020,silicate_mean_2020,salinity_mean,primary_productivity_mean_2020,phosphate_mean_2020,pH_mean_2020,nitrate_mean_2020,agricultural_diffuse_source_runoff,marine_debris,recreational_fishing_vessel,Commercial_fishing_vessel,iron_mean_2020,dissolved_O2_mean_2020,current_velocity_mean_2020,current_direction_mean_2020,mixed_layer_depth_mean_2020,air_temperature_mean_2020,chlorophyll_mean_2020
Point (-168.1552599999999984 -14.53065999999999924),-14.53066,-168.15526,PAC41,165,#829F82,Rose Atoll north point,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Monument,Restricted take,RLS,#N/A,#N/A,"23/08/2012-14m, 23/08/2012-6m",,3,3,3,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E610000010CCD1E3F70465C03A97E2AAB20F2DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-168.16196999999999662 -14.54903000000000013),-14.54903,-168.16197,PAC35,165,#829F82,Rose Atoll bommie 1 wreck,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,No take,RLS,#N/A,#N/A,"22/08/2012-8m, 22/08/2012-7.5m",,1,4,3,2,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000DC9DB5DB2E0565C0B60BCD751A192DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-168.15986000000000899 -14.5489499999999996),-14.54895,-168.15986,PAC36,165,#829F82,Rose Atoll bommie 2 wreck,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,No take,RLS,#N/A,#N/A,"22/08/2012-7m, 22/08/2012-10m",,1,4,3,2,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E610000009FEB7921D0565C0454772F90F192DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-168.16184999999998695 -14.54343000000000075),-14.54343,-168.16185,PAC37,165,#829F82,Rose Atoll bommie 3,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,No take,RLS,#N/A,#N/A,"22/08/2012-8m, 22/08/2012-6m",,1,4,3,2,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000711B0DE02D0565C09F54FB743C162DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-168.15357000000000198 -14.53794000000000075),-14.53794,-168.15357,PAC38,165,#829F82,Rose Atoll entrance bommie,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,No take,RLS,#N/A,#N/A,"22/08/2012-6m, 22/08/2012-10m",,1,4,3,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000B2F4A10BEA0465C0A46B26DF6C132DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-168.15939000000000192 -14.54156000000000049),-14.54156,-168.15939,PAC39,165,#829F82,Rose Atoll bommie 4,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,No take,RLS,#N/A,#N/A,"23/08/2012-10m, 23/08/2012-6m",,1,4,3,2,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000E7A90EB9190565C0BEA4315A47152DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-170.66541000000000849 -14.2833900000000007),-14.28339,-170.66541,PAC42,165,#829F82,Pago Pago Harbour east,American Samoa,Tutuila,American Samoa,,Fishing,RLS,#N/A,#N/A,"26/08/2012-14m, 26/08/2012-5m",,2,2,4,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000CE8DE9094B5565C0E1067C7E18912CC0,28.86166845,1.404995991,35.17123312,1.049339715,0.246050465,8.052452791,0.00090015,0,0.612813175,0,3.72E-06,0.000109486,199.2147956,0.054633897,237.931501,27.44560293,27.17327736,0.06487861
Point (-170.67466999999999189 -14.28387000000000029),-14.28387,-170.67467,PAC43,165,#829F82,Pago Pago Harbour west,American Samoa,Tutuila,American Samoa,,Fishing,RLS,#N/A,#N/A,"26/08/2012-6m, 26/08/2012-13m",,2,2,4,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000F4328AE5965565C08CA19C6857912CC0,28.86166845,1.404995991,35.17123312,1.049339715,0.246050465,8.052452791,0.00090015,0,0.612813175,0,3.72E-06,0.000109486,199.2147956,0.054633897,237.931501,27.44560293,27.17327736,0.06487861
Point (-68.13190000000000168 -67.56969999999999743),-67.5697,-68.1319,ANT1,165,#659EC7,South Cove South of T310m,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,11/01/2016-10m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E6100000EA95B20C710851C0FF21FDF675E450C0,-0.862259902,31.40905039,32.76891034,4.413530158,1.411288585,8.087585842,18.84288757,0,0.699780345,0,9.92E-06,0.002714284,367.8835692,0.019029454,222.4415703,19.19891161,-5.259548602,1.060268785
Point (-68.13269999999999982 -67.57044999999999391),-67.57045,-68.1327,ANT2,165,#659EC7,South Cove South,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,05/01/2016-9m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E6100000780B24287E0851C03480B74082E450C0,-0.862259902,31.40905039,32.76891034,4.413530158,1.411288585,8.087585842,18.84288757,0,0.699780345,0,9.92E-06,0.002714284,367.8835692,0.019029454,222.4415703,19.19891161,-5.259548602,1.060268785
Point (-68.12999999999999545 -67.56999999999999318),-67.57,-68.13,ANT3,165,#659EC7,Couth Cove End Runway,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,06/01/2016-8m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E6100000B81E85EB510851C014AE47E17AE450C0,-0.862259902,31.40905039,32.76891034,4.413530158,1.411288585,8.087585842,18.84288757,0,0.699780345,0,9.92E-06,0.002714284,367.8835692,0.019029454,222.4415703,19.19891161,-5.259548602,1.060268785
Point (-68.13120000000000687 -67.57170000000000698),-67.5717,-68.1312,ANT4,165,#659EC7,End Runway,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,06/01/2016-9m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E61000000E4FAF94650851C0E3C798BB96E450C0,-0.862259902,31.40905039,32.76891034,4.413530158,1.411288585,8.087585842,18.84288757,0,0.699780345,0,9.92E-06,0.002714284,367.8835692,0.019029454,222.4415703,19.19891161,-5.259548602,1.060268785
Point (-68.12959999999999638 -67.57224999999999682),-67.57225,-68.1296,ANT5,165,#659EC7,Wharf,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,07/01/2016-9m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E6100000F163CC5D4B0851C0B4C876BE9FE450C0,-0.862259902,31.40905039,32.76891034,4.413530158,1.411288585,8.087585842,18.84288757,0,0.699780345,0,9.92E-06,0.002714284,367.8835692,0.019029454,222.4415703,19.19891161,-5.259548602,1.060268785
Point (-68.21139999999999759 -67.59583000000000652),-67.59583,-68.2114,ANT7,165,#659EC7,Trovall,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,12/02/2016-12m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E6100000F697DD93870D51C072FE261422E650C0,-0.843420143,31.57436887,32.79167275,4.347259175,1.415516772,8.087431102,18.90563729,0,0.699780345,0,9.92E-06,0.002636444,367.5654827,0.019446246,227.250702,19.20620617,-5.093598319,1.043820597
Point (-68.19718000000000302 -67.55458000000000141),-67.55458,-68.19718,ANT8,165,#659EC7,Shacks crack,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,26/02/2016-13m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E610000038DBDC989E0C51C001C11C3D7EE350C0,-0.850923,31.60089183,32.78666314,4.40603022,1.414475376,8.087373439,18.88992316,0,0.699780345,0,9.92E-06,0.002721049,367.702289,0.02031498,224.6526755,18.81638623,-5.214497861,1.058594496
Point (-68.19388999999999612 -67.59944000000000131),-67.59944,-68.19389,ANT9,165,#659EC7,Anchorage Wall,Antarctica,Graham Land Antarctica,Antarctica,,Fishing,RLS,#N/A,#N/A,28/02/2016-14m,,,,,,Southern Ocean,Scotia Sea,Antarctic Peninsula,Polar,0101000020E61000005F419AB1680C51C083FA96395DE650C0,-0.850923,31.60089183,32.78666314,4.40603022,1.414475376,8.087373439,18.88992316,0,0.699780345,0,9.92E-06,0.002721049,367.702289,0.02031498,224.6526755,18.81638623,-5.214497861,1.058594496
Point (-64.23408000000000584 -42.25556000000000267),-42.25556,-64.23408,ARG1,165,#87AFC7,San Roman,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"10/04/2012-10m, 10/04/2012-9.5m",,2,2,1,2,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000007429AE2AFB0E50C03715A930B62045C0,14.72517976,6.107506316,33.97895757,1.155159988,0.659282065,8.041926971,0.004624355,0,0.630353212,0,1.24E-05,0.004937304,256.5787694,0.01530047,53.30714564,27.39186009,14.72297501,0.102166167
Point (-64.50110999999999706 -42.93361000000000161),-42.93361,-64.50111,ARG10,165,#87AFC7,Los Bollones,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,15/04/2012-10m,,2,1,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E6100000B56CAD2F122050C0F99B5088807745C0,14.30485604,6.730639593,33.69629948,1.590300066,0.67373722,8.037581276,0.017973042,0,0.630353212,0,1.24E-05,0.004273595,260.8808527,0.012218382,64.69387203,35.71796343,13.95912648,0.212829058
Point (-64.25611000000000672 -42.62543999999999755),-42.62544,-64.25611,ARG2,165,#87AFC7,Pafer,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,11/04/2012-15.5m,,2,2,1,2,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000006D8B321B641050C01DCEFC6A0E5045C0,14.64438985,6.688881951,33.74938567,1.353366896,0.671312144,8.038673672,0.019971668,0,0.630353212,0,1.24E-05,0.004235171,259.2962008,0.021851714,111.6891004,31.11906273,14.53735533,0.185265045
Point (-64.27500000000000568 -42.62194000000000216),-42.62194,-64.275,ARG3,165,#87AFC7,PNU,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"11/04/2012-11.5m, 11/04/2012-12m",,2,2,1,2,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000009A999999991150C08109DCBA9B4F45C0,14.64438985,6.688881951,33.74938567,1.353366896,0.671312144,8.038673672,0.019971668,0,0.630353212,0,1.24E-05,0.004235171,259.2962008,0.021851714,111.6891004,31.11906273,14.53735533,0.185265045
Point (-64.24044000000000665 -42.6283600000000007),-42.62836,-64.24044,ARG4,165,#87AFC7,Colombo,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,11/04/2012-18m,,2,2,1,2,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000009E29745E630F50C0AA0EB9196E5045C0,14.62563955,6.696404543,33.75022299,1.37131621,0.672170314,8.038677148,0.019692143,0,0.630353212,0,1.24E-05,0.004111231,259.6736902,0.021931227,113.3939627,28.13402605,14.54941804,0.192349011
Point (-64.97011000000000536 -42.76924999999999955),-42.76925,-64.97011,ARG5,165,#87AFC7,Wreck Mirralles,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,12/04/2012-18m,,2,4,1,2,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E610000071E14048163E50C05839B4C8766245C0,14.41327736,6.940915857,33.73670587,1.611442402,0.668149642,8.0369977,0.041551941,0,0.630353212,0,1.24E-05,0.004542706,259.2070689,0.018706158,102.1728676,22.29617549,14.5616668,0.217757097
Point (-64.94983000000000573 -42.77528000000000219),-42.77528,-64.94983,ARG6,165,#87AFC7,Punta Este,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"12/04/2012-10m, 12/04/2012-10.1m",,2,2,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000009FB0C403CA3C50C0179F02603C6345C0,14.4283209,7.013489382,33.73398687,1.625847117,0.668112051,8.036763314,0.044744001,0,0.630353212,0,1.24E-05,0.004533572,259.157718,0.020238303,100.8169955,26.39115291,14.54387465,0.223930025
Point (-64.93635999999999342 -42.77069000000000187),-42.77069,-64.93636,ARG7,165,#87AFC7,Sitio Top Secret,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,12/04/2012-12m,,2,1,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E610000015527E52ED3B50C058AD4CF8A56245C0,14.4283209,7.013489382,33.73398687,1.625847117,0.668112051,8.036763314,0.044744001,0,0.630353212,0,1.24E-05,0.004533572,259.157718,0.020238303,100.8169955,26.39115291,14.54387465,0.223930025
Point (-64.45507999999999527 -42.94156000000000262),-42.94156,-64.45508,ARG8,165,#87AFC7,El Bosque,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"15/04/2012-10m, 15/04/2012-10.1m",,2,3,1,2,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000001444DD07201D50C0629CBF09857845C0,14.30485604,6.730639593,33.69629948,1.590300066,0.67373722,8.037581276,0.017973042,0,0.630353212,0,1.24E-05,0.004273595,260.8808527,0.012218382,64.69387203,35.71796343,13.95912648,0.212829058
Point (-64.43341999999999814 -42.94778000000000162),-42.94778,-64.43342,ARG9,165,#87AFC7,El Pedral,Argentina,Chubut,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"15/04/2012-8m, 15/04/2012-8.1m",,2,1,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E6100000AB5B3D27BD1B50C0C5E6E3DA507945C0,14.21463049,6.702179693,33.68478455,1.547953987,0.674080679,8.037895241,0.017614153,0,0.630353212,0,1.24E-05,0.004067173,260.938559,0.009163646,81.47660144,34.24656866,13.91418162,0.212139635
Point (-65.05808000000000391 -41.95855999999999852),-41.95856,-65.05808,ARG11,165,#87AFC7,Punta la Islita,Argentina,Rio Negro,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,17/04/2012-14m,,3,3,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E61000004F232D95B74350C07BA01518B2FA44C0,14.90455187,6.058713341,33.90538419,0.962759488,0.657755425,8.04115278,0.004866263,0,0.630353212,0,1.24E-05,0.004805751,254.7056411,0.013604681,71.09475344,27.0968428,14.77743207,0.079030177
Point (-65.06206000000000245 -41.9520300000000006),-41.95203,-65.06206,ARG12,165,#87AFC7,La Islita,Argentina,Rio Negro,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"17/04/2012-3.5m, 17/04/2012-4m",,3,3,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E6100000F29881CAF84350C0CB67791EDCF944C0,14.90455187,6.058713341,33.90538419,0.962759488,0.657755425,8.04115278,0.004866263,0,0.630353212,0,1.24E-05,0.004805751,254.7056411,0.013604681,71.09475344,27.0968428,14.77743207,0.079030177
Point (-65.05764000000000635 -41.94308000000000192),-41.94308,-65.05764,ARG13,165,#87AFC7,Alejos Crack,Argentina,Rio Negro,Argentinian Gulfs,,Fishing,RLS,#N/A,#N/A,"16/04/2012-4m, 17/04/2012-3.5m",,3,3,1,1,Temperate South America,Magellanic,North Patagonian Gulfs,Temperate,0101000020E610000041BCAE5FB04350C07FC16ED8B6F844C0,14.91265202,6.065008293,33.90462991,0.976399035,0.657727854,8.041379332,0.006037396,0,0.630353212,0,1.24E-05,0.004636314,254.5138892,0.013635937,63.61698534,24.51736169,14.74752205,0.08301635
Point (105.66813999999999396 -10.42961999999999989),-10.42962,105.66814,CI1,165,#E3E4FA,Flying Fish Cove Boat Ramp,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,"11/09/2010-5m, 13/09/2010-4.8m, 16/09/2010-12m, 01/01/2019-7m",,,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E6100000904946CEC26A5A40406A1327F7DB24C0,28.07800917,2.987781288,33.92652675,1.341278001,0.023608973,8.055431292,0.005712505,0,0.585014403,0,0,0.000707525,203.0797423,0.280170752,252.510007,21.22184176,26.39325769,0.122401436
Point (105.66984999999999673 -10.42365999999999993),-10.42366,105.66985,CI10,165,#E3E4FA,Isabel Beach,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,03/10/2010-8m,,,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E610000070CE88D2DE6A5A40293FA9F6E9D824C0,28.07800917,2.987781288,33.92652675,1.341278001,0.023608973,8.055431292,0.005712505,0,0.585014403,0,0,0.000707525,203.0797423,0.280170752,252.510007,21.22184176,26.39325769,0.122401436
Point (105.66984999999999673 -10.42897999999999925),-10.42898,105.66985,CI11,165,#E3E4FA,FFC Wharf,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,05/10/2010-2.3m,,,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E610000070CE88D2DE6A5A40B3463D44A3DB24C0,28.07800917,2.987781288,33.92652675,1.341278001,0.023608973,8.055431292,0.005712505,0,0.585014403,0,0,0.000707525,203.0797423,0.280170752,252.510007,21.22184176,26.39325769,0.122401436
Point (105.70770000000000266 -10.46303999999999945),-10.46304,105.7077,CI12,165,#E3E4FA,Ethel Beach W,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,08/10/2010-9.5m,,,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E610000045D8F0F44A6D5A40CC7A319413ED24C0,28.11222591,3.001519625,33.91792943,1.34435217,0.023656402,8.055418272,0.005491416,0,0.585014403,0,0,0.00071382,203.0807816,0.23061784,241.3811908,24.76058511,26.40137767,0.122812968
Point (105.62820000000000675 -10.46069999999999922),-10.4607,105.6282,CI13,165,#E3E4FA,Middle Beach West,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,24/11/2009-8m,"KT22,NT7",,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E610000039D6C56D34685A40CE88D2DEE0EB24C0,28.07800917,2.987781288,33.92652675,1.341278001,0.023608973,8.055431292,0.005712505,0,0.585014403,0,0,0.000707525,203.0797423,0.280170752,252.510007,21.22184176,26.39325769,0.122401436
Point (105.66889999999999361 -10.42918000000000056),-10.42918,105.6689,CI14,165,#E3E4FA,Flying Fish Cove CI,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,26/11/2009-7m,"NT1,KT24",,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E6100000D712F241CF6A5A40CF31207BBDDB24C0,28.07800917,2.987781288,33.92652675,1.341278001,0.023608973,8.055431292,0.005712505,0,0.585014403,0,0,0.000707525,203.0797423,0.280170752,252.510007,21.22184176,26.39325769,0.122401436
Point (105.67081000000000301 -10.42657999999999952),-10.42658,105.67081,CI2,165,#E3E4FA,Phosphate Wharf,Australia,Christmas Island,Christmas Island,,Fishing,RLS,#N/A,#N/A,17/09/2010-7m,,,,,,Central Indo-Pacific,Java Transitional,Cocos-Keeling/Christmas Island,Tropical,0101000020E61000001BF5108DEE6A5A405F419AB168DA24C0,28.07800917,2.987781288,33.92652675,1.341278001,0.023608973,8.055431292,0.005712505,0,0.585014403,0,0,0.000707525,203.0797423,0.280170752,252.510007,21.22184176,26.39325769,0.122401436
