species_name,taxonomic_name,phylum,class,order,family,genus,species_epithet,phylogenetic_diversity_index,trophic_level,trophic_level_se,vulnerability,reproductive_mode,fertilization,reproductive_guild,trophic_breadth,diet,trophic_group,diet_level,time,water_column,habitat,macrophyte,complexity
Enchelycore lichenosa,Enchelycore lichenosa,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Enchelycore,lichenosa,0.5001,4.5,0.8,39,,,,1.777777778,crabs,higher carnivore,1,Night,benthic,coral,low,high
Enchelycore ramosa,Enchelycore ramosa,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Enchelycore,ramosa,0.5001,4.7,0.8,78,,,,1.777777778,crabs,higher carnivore,1,Night,benthic,coral,low,high
Enchelycore spp.,Enchelycore spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Enchelycore,,0.5001,,,,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Gymnomuraena zebra,Gymnomuraena zebra,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnomuraena,zebra,1,3.4,0.43,68,protogyny,exterl,nonguarders,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Gymnothorax annasona,Gymnothorax annasona,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,annasona,0.5,3.9,0.7,43,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax breedeni,Gymnothorax breedeni,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,breedeni,0.5,4.5,0.8,42,,,,1.857142857,benth. crustaceans,higher carnivore,2,Night,benthic,coral,low,high
Gymnothorax buroensis,Gymnothorax buroensis,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,buroensis,0.5,3.8,0.65,19,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax castaneus,Gymnothorax castaneus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,castaneus,0.5,4,0.67,68,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax chilospilus,Gymnothorax chilospilus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,chilospilus,0.5,3.9,0.7,26,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax cribroris,Gymnothorax cribroris,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,cribroris,0.5,4,0.7,49,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax dovii,Gymnothorax dovii,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,dovii,0.5,4.3,0.7,69,,,,1.857142857,benth. crustaceans,higher carnivore,2,Night,benthic,coral,low,high
Gymnothorax eurostus,Gymnothorax eurostus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,eurostus,0.5,4.1,0.67,35,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax favagineus,Gymnothorax favagineus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,favagineus,0.5,4.2,0.64,76,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax fimbriatus,Gymnothorax fimbriatus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,fimbriatus,0.5,4,0.67,34,protogyny,exterl,nonguarders,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax flavimarginatus,Gymnothorax flavimarginatus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,flavimarginatus,0.5,4.2,0.72,73,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax funebris,Gymnothorax funebris,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,funebris,0.5,4,0.71,74,dioecism,exterl,nonguarders,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax griseus,Gymnothorax griseus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,griseus,0.5,4,0.7,30,true hermaphroditism,exterl,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax isingteena,Gymnothorax isingteena,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,isingteena,0.5,4.3,0.7,70,,,,1.857142857,benth. crustaceans,higher carnivore,2,Night,benthic,coral,low,high
Gymnothorax javanicus,Gymnothorax javanicus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,javanicus,0.5,3.9,0.64,76,dioecism,exterl,nonguarders,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax kidako,Gymnothorax kidako,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,kidako,0.5,4.5,0.61,54,,,,1.857142857,benth. crustaceans,higher carnivore,2,Night,benthic,rock,low,high
Gymnothorax melatremus,Gymnothorax melatremus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,melatremus,0.5,3.7,0.6,14,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax meleagris,Gymnothorax meleagris,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,meleagris,0.5,4.5,0.8,52,,,,1,fishes,higher carnivore,1,Night,benthic,coral,low,high
Gymnothorax miliaris,Gymnothorax miliaris,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,miliaris,0.5,3.9,0.63,42,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax mordax,Gymnothorax mordax,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,mordax,0.5,4.5,0.8,77,dioecism,exterl,nonguarders,1,fishes,higher carnivore,1,Night,benthic,coral,low,high
Gymnothorax moringa,Gymnothorax moringa,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,moringa,0.5,4.5,0.8,77,dioecism,exterl,nonguarders,1,fishes,higher carnivore,1,Night,benthic,coral,low,high
Gymnothorax nubilus,Gymnothorax nubilus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,nubilus,0.5,3.9,0.7,42,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax nudivomer,Gymnothorax nudivomer,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,nudivomer,0.5,4.5,0.8,70,,,,1.857142857,benth. crustaceans,higher carnivore,2,Night,benthic,rock,low,high
Gymnothorax obesus,Gymnothorax obesus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,obesus,0.5,4.3,0.7,80,,,,1.857142857,benth. crustaceans,higher carnivore,2,Night,benthic,coral,low,high
Gymnothorax panamensis,Gymnothorax panamensis,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,panamensis,0.5,4,0.62,50,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax pictus,Gymnothorax pictus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,pictus,0.5,4.2,0.72,63,true hermaphroditism,exterl,nonguarders,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax porphyreus,Gymnothorax porphyreus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,porphyreus,0.5,3.8,0.6,18,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax prasinus,Gymnothorax prasinus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,prasinus,0.5,3.6,0.6,51,,,,2,crabs,benthic carnivore,1,Night,benthic,rock,low,high
Gymnothorax prionodon,Gymnothorax prionodon,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,prionodon,0.5,4.2,0.7,78,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax sp. [EI],Gymnothorax spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,,0.5,4,,,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax sp. [eurostus cf],Gymnothorax spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,,0.5,4,,,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax sp. [PAC114?],Gymnothorax spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,,0.5,4,,,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax spp.,Gymnothorax spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,,0.5,4,,,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax thrysoideus,Gymnothorax thrysoideus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,thrysoideus,0.5,4,,,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Gymnothorax undulatus,Gymnothorax undulatus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,undulatus,0.5,3.6,0.6,68,,,,4,Benthic Mobile Inverts,benthic carnivore,3,Night,benthic,coral,low,high
Gymnothorax unicolor,Gymnothorax unicolor,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,unicolor,0.5,3.4,0.59,50,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Gymnothorax vicinus,Gymnothorax vicinus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,vicinus,0.5,4.3,0.7,60,,,,3,Carnivore,higher carnivore,4,Night,benthic,rock,low,high
Gymnothorax zonipectis,Gymnothorax zonipectis,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,zonipectis,0.5,3.9,0.6,26,,,,1.857142857,benth. crustaceans,benthic carnivore,2,Night,benthic,rock,low,high
Muraena argus,Muraena argus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Muraena,argus,0.501,4,0.6,52,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Muraena augusti,Muraena augusti,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Muraena,augusti,0.501,4,0.6,61,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,rock,low,high
Muraena clepsydra,Muraena clepsydra,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Muraena,clepsydra,0.501,4,0.6,52,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Muraena helena,Muraena helena,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Muraena,helena,0.501,4.2,0.61,74,dioecism,exterl,nonguarders,1.777777778,crabs,benthic carnivore,1,Night,benthic,rock,low,high
Muraena lentiginosa,Muraena lentiginosa,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Muraena,lentiginosa,0.501,3.9,0.61,29,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Muraena spp.,Muraena spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Muraena,,0.501,,,,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Muraenid spp.,Muraenid spp.,Chordata,Actinopterygii,Anguilliformes,Muraenidae,,,,,,,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Rhinomuraena quaesita,Rhinomuraena quaesita,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Rhinomuraena,quaesita,1,4.5,0.8,58,protandry,exterl,nonguarders,1.777777778,crabs,higher carnivore,1,Night,benthic,coral,low,high
Scuticaria tigrina,Scuticaria tigrina,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Scuticaria,tigrina,0.75,3.8,0.5,52,,,,1.777777778,crabs,benthic carnivore,1,Day,benthic,coral,low,high
Uropterygius marmoratus,Uropterygius marmoratus,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Uropterygius,marmoratus,0.5,3.6,0.6,48,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Myrichthys colubrinus,Myrichthys colubrinus,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,colubrinus,0.5005,3.6,0.4,45,,,,2.5,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Myrichthys maculosus,Myrichthys maculosus,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,maculosus,0.5005,3.6,0.4,45,,,,2.5,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Myrichthys tigrinus,Myrichthys tigrinus,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,tigrinus,0.5005,3.5,0.4,37,,,,2.5,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Ophisurus serpens,Ophisurus serpens,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Ophisurus,serpens,0.75,4.1,0.7,76,,,,2.285714286,benth. crustaceans,benthic carnivore,2,Night,benthic,sand,low,low
Quassiremus nothochir,Quassiremus nothochir,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Quassiremus,nothochir,0.5625,3.8,0.6,36,,,,2.285714286,benth. crustaceans,benthic carnivore,2,Night,benthic,coral,low,high
Scolecenchelys breviceps,Scolecenchelys breviceps,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Scolecenchelys,breviceps,0.5,4.5,0.8,35,,,,2,benth. crustaceans,higher carnivore,1,Night,benthic,rock,low,high
Atherina presbyter,Atherina presbyter,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherina,presbyter,0.5312,3.7,0.43,20,dioecism,exterl,nonguarders,5,Omnivore,herbivore,4,Day,pelagic non-site attached,sand,low,low
Atherinason hepsetoides,Atherinason hepsetoides,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinason,hepsetoides,,3.7,,,,,,2.857142857,Omnivore,herbivore,4,Day,pelagic non-site attached,sand,low,low
Atherinid spp.,Atherinid spp.,Chordata,Actinopterygii,Atheriniformes,Atherinidae,,,,3.7,,,,,,2.857142857,Omnivore,herbivore,4,Day,pelagic non-site attached,rock,low,low
Atherinomorus vaigiensis,Atherinomorus vaigiensis,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinomorus,vaigiensis,0.5005,3.2,0.43,29,,,,4,benth. crustaceans,benthic carnivore,2,Day,pelagic non-site attached,sand,low,low
Leptatherina presbyteroides,Leptatherina presbyteroides,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Leptatherina,presbyteroides,,3.7,,,,,,2.857142857,Omnivore,herbivore,4,Day,pelagic non-site attached,sand,low,low
Hyporhamphus affinis,Hyporhamphus affinis,Chordata,Actinopterygii,Atheriniformes,Hemiramphidae,Hyporhamphus,affinis,0.5,3.5,0.48,30,,,,1.8,benthic algae,herbivore,1,Night,pelagic non-site attached,coral,low,low
Aulopus purpurissatus,Aulopus purpurissatus,Chordata,Actinopterygii,Aulopiformes,Aulopidae,Aulopus,purpurissatus,1.001,4,0.66,35,,,,2,Fishes,higher carnivore,5,Day,benthic,rock,low,low
Saurida gracilis,Saurida gracilis,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Saurida,gracilis,0.5,4.2,0.7,25,dioecism,exterl,nonguarders,2,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodontid spp.,Synodontid spp.,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,,,4.1,,,,,,2.071428571,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus binotatus,Synodus binotatus,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,binotatus,0.5,4,0.7,11,dioecism,exterl,nonguarders,1.714285714,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus capricornis,Synodus capricornis,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,capricornis,0.5,4.1,0.7,17,dioecism,exterl,nonguarders,1.714285714,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus dermatogenys,Synodus dermatogenys,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,dermatogenys,0.5,4.2,0.7,16,dioecism,exterl,nonguarders,1,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus intermedius,Synodus intermedius,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,intermedius,0.5,4.2,0.7,26,dioecism,exterl,nonguarders,2,fishes,higher carnivore,2,Day,benthic,coral,low,low
Synodus jaculum,Synodus jaculum,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,jaculum,0.5,4,0.7,12,dioecism,exterl,nonguarders,1.714285714,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus lacertinus,Synodus lacertinus,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,lacertinus,0.5,4.2,0.73,12,dioecism,exterl,nonguarders,1.714285714,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus saurus,Synodus saurus,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,saurus,0.5,4.5,0.8,31,dioecism,exterl,nonguarders,1,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus similis,Synodus similis,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,similis,0.5,4,0.7,11,dioecism,exterl,nonguarders,1.714285714,fishes,higher carnivore,1,Day,benthic,rock,low,low
Synodus spp.,Synodus spp.,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,,0.5,4.1,,,,,,1.714285714,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus synodus,Synodus synodus,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,synodus,0.5,4.2,0.7,21,dioecism,exterl,nonguarders,1,fishes,higher carnivore,1,Day,benthic,rock,low,low
Synodus ulae,Synodus ulae,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,ulae,0.5,4.2,0.73,24,dioecism,exterl,nonguarders,1.714285714,fishes,higher carnivore,1,Day,benthic,coral,low,low
Synodus variegatus,Synodus variegatus,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,variegatus,0.5,4.2,0.7,30,dioecism,exterl,nonguarders,1,fishes,higher carnivore,1,Day,benthic,coral,low,low
Batrachomoeus dubius,Batrachomoeus dubius,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Batrachomoeus,dubius,0.5312,3.7,0.6,45,,,,3.5,Carnivore,benthic carnivore,4,Day,benthic,rock,low,medium
Halophryne diemensis,Halophryne diemensis,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Halophryne,diemensis,0.5625,3.7,0.56,36,,,,3.5,Carnivore,benthic carnivore,4,Day,benthic,rock,low,medium
Porichthys notatus,Porichthys notatus,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,notatus,0.5001,4,0.67,47,dioecism,exterl,guarders,3,Carnivore,benthic carnivore,4,Day,benthic,rock,low,medium
Belone belone,Belone belone,Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,belone,0.75,4.2,0.7,39,dioecism,exterl,nonguarders,4,Carnivore,higher carnivore,4,Day,pelagic non-site attached,sand,low,low
Belone spp.,Belone spp.,Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,,0.75,,,,,,,4,Carnivore,higher carnivore,4,Day,pelagic non-site attached,coral,low,low
Belonid spp.,Belonid spp.,Chordata,Actinopterygii,Beloniformes,Belonidae,,,,,,,,,,2.142857143,Carnivore,higher carnivore,4,Day,pelagic non-site attached,sand,low,low
Strongylura incisa,Strongylura incisa,Chordata,Actinopterygii,Beloniformes,Belonidae,Strongylura,incisa,0.5001,4.2,0.73,47,dioecism,exterl,nonguarders,1.666666667,plank. copepods,planktivore,1,Day,pelagic non-site attached,sand,low,low
Tylosurus crocodilus,Tylosurus crocodilus,Chordata,Actinopterygii,Beloniformes,Belonidae,Tylosurus,crocodilus,0.5156,,,,,,,2,fishes,higher carnivore,1,Day,pelagic non-site attached,sand,low,low
Tylosurus gavialoides,Tylosurus gavialoides,Chordata,Actinopterygii,Beloniformes,Belonidae,Tylosurus,gavialoides,0.5156,4.4,0.8,54,dioecism,exterl,nonguarders,2,fishes,higher carnivore,1,Day,pelagic non-site attached,sand,low,low
Exocoetid spp.,Exoceotid spp.,Chordata,Actinopterygii,Beloniformes,Exoceotidae,,,,,,,,,,,Fishes,higher carnivore,5,Day,pelagic non-site attached,sand,low,low
Hemiramphus depauperatus,Hemiramphus depauperatus,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hemiramphus,depauperatus,0.5005,3.3,0.4,27,,,,3,Carnivore,planktivore,4,Night,pelagic non-site attached,sand,low,low
Hemiramphus saltator,Hemiramphus saltator,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hemiramphus,saltator,0.5005,4,0.65,27,dioecism,exterl,nonguarders,3,Carnivore,planktivore,4,Night,pelagic non-site attached,sand,low,low
Hyporhamphus australis,Hyporhamphus australis,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hyporhamphus,australis,0.5,2.6,0.25,23,dioecism,interl (oviduct),,1.8,benthic algae,herbivore,1,Night,pelagic non-site attached,sand,macroalgae,low
Hyporhamphus dussumieri,Hyporhamphus dussumieri,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hyporhamphus,dussumieri,0.5,3.5,0.48,30,,,,1.8,benthic algae,herbivore,1,Night,pelagic non-site attached,sand,low,low
Hyporhamphus melanochir,Hyporhamphus melanochir,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hyporhamphus,melanochir,0.5,2.7,0.27,28,dioecism,interl (oviduct),,1.8,benthic algae,herbivore,1,Night,pelagic non-site attached,sand,macroalgae,low
Centroberyx affinis,Centroberyx affinis,Chordata,Actinopterygii,Beryciformes,Berycidae,Centroberyx,affinis,0.5088,3.8,0.59,54,,,,3,Carnivore,higher carnivore,4,Night,pelagic site attached,rock,low,high
Centroberyx gerrardi,Centroberyx gerrardi,Chordata,Actinopterygii,Beryciformes,Berycidae,Centroberyx,gerrardi,0.5088,4.1,0.7,64,,,,3,Carnivore,higher carnivore,4,Night,pelagic site attached,rock,low,high
Centroberyx lineatus,Centroberyx lineatus,Chordata,Actinopterygii,Beryciformes,Berycidae,Centroberyx,lineatus,0.5088,4.2,0.73,53,,,,3,Carnivore,higher carnivore,4,Night,pelagic site attached,rock,low,medium
Holocentrus adscensionis,Holocentrus adscensionis,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,adscensionis,0.75,3.5,0.6,36,dioecism,exterl,nonguarders,3,Carnivore,benthic carnivore,4,Night,Demersal,coral,low,medium
Holocentrus rufus,Holocentrus rufus,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,rufus,0.75,3.5,0.6,19,dioecism,exterl,nonguarders,5,Carnivore,benthic carnivore,3,Night,Demersal,coral,low,medium
Holocentrus spp.,Holocentrus spp.,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,,0.75,,,,,,,4,Carnivore,benthic carnivore,4,Night,Demersal,coral,low,medium
Myripristis adusta,Myripristis adusta,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,adusta,0.5,3.4,0.45,25,dioecism,exterl,nonguarders,3.5,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis berndti,Myripristis berndti,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,berndti,0.5,3.7,0.57,24,dioecism,exterl,nonguarders,3.5,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis earlei,Myripristis earlei,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,earlei,0.5,3.6,0.5,24,,,,3.5,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis hexagona,Myripristis hexagona,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,hexagona,0.5,3.1,0.3,24,dioecism,exterl,nonguarders,3.5,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis jacobus,Myripristis jacobus,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,jacobus,0.5,3.6,0.6,20,dioecism,exterl,nonguarders,4,Omnivore,herbivore,4,Night,Demersal,coral,low,medium
Myripristis kochiensis,Myripristis kochiensis,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,kochiensis,0.5,3.5,0.5,14,dioecism,exterl,nonguarders,3.5,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis kuntee,Myripristis kuntee,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,kuntee,0.5,3.3,0.4,21,dioecism,exterl,nonguarders,3,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis leiognathus,Myripristis leiognathus,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,leiognathus,0.5,3.1,0.3,14,dioecism,exterl,nonguarders,3.5,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
Myripristis murdjan,Myripristis murdjan,Chordata,Actinopterygii,Beryciformes,Holocentridae,Myripristis,murdjan,0.5,3.3,0.4,35,dioecism,exterl,nonguarders,3,Carnivore,planktivore,4,Night,Demersal,coral,low,medium
